Tweets,tweet_date,User_location,Clean_tweets,Sentiment,hours,date,location,point,latitude,longitude,altitude
"RT @BJP4India: Congress party and its leaders are deliberately spreading negativity, misinformation, fake news and working against the natiÂ",2020-05-27 16:38:28,"C-51,Sardar Patel marg, jaipur",congress parti leader deliber spread neg misinform fake news work nati,Negative,16.0,2020-05-27,"Sardar Patel Marg, Jyoti Nagar, Bapu Nagar, Jaipur Municipal Corporation, Jaipur Tehsil, Jaipur, Rajasthan, 302015, India","(26.9047521, 75.7936005, 0.0)",26.9047521,75.7936005,0.0
RT @project_umeed: We are together and we will ensure no one is left behind. Tell a friend how they can help during this crisis. Click to sÂ,2020-05-27 16:37:56,"Kota, India",togeth ensur left behind tell friend help crisi click,Negative,16.0,2020-05-27,"Kota, Rajasthan, India","(25.1968256, 76.00089330885552, 0.0)",25.1968256,76.00089330885552,0.0
"RT @BJP4India: Congress party and its leaders are deliberately spreading negativity, misinformation, fake news and working against the natiÂ",2020-05-27 16:37:44,,congress parti leader deliber spread neg misinform fake news work nati,Negative,16.0,2020-05-27,"Nanno, Comunità della Val di Non, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38012, Italia","(46.3144754, 11.0480288, 0.0)",46.3144754,11.0480288,0.0
"RT @airnewsalerts: FAKE NEWS ALERT

Ministry of Home Affairs says, a report in a private channel about PM Narendra Modi that he may announcÂ",2020-05-27 16:37:40,"Race Course Colony, Madurai",fake news alert ministri home affair say report privat channel narendra modi announc,Negative,16.0,2020-05-27,,,,,
"RT @SanjayDhotreMP: What an idea??! 
A game to teach you how to dodge #coronavirus when you step out of home. Developed by @IIT_Tirupati, thÂ",2020-05-27 16:37:09,"Darjeeling, A Heaven on Earth",what idea game teach dodg #coronaviru step home develop,Negative,16.0,2020-05-27,,,,,
"RT @BJP4India: Congress party and its leaders are deliberately spreading negativity, misinformation, fake news and working against the natiÂ",2020-05-27 16:36:11,,congress parti leader deliber spread neg misinform fake news work nati,Negative,16.0,2020-05-27,"Nanno, Comunità della Val di Non, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38012, Italia","(46.3144754, 11.0480288, 0.0)",46.3144754,11.0480288,0.0
"RT @BJP4India: Congress party and its leaders are deliberately spreading negativity, misinformation, fake news and working against the natiÂ",2020-05-27 16:35:18,"Ghaziabad, India",congress parti leader deliber spread neg misinform fake news work nati,Negative,16.0,2020-05-27,"Ghaziabad, Uttar Pradesh, India","(28.711241, 77.4445372, 0.0)",28.711241,77.4445372,0.0
RT @mygovindia: A video of a woman with an infant travelling between train bogies labelled as migrants is FAKE! Don't believe in such misinÂ,2020-05-27 16:35:06,Hyderabad,video woman infant travel train bogi label migrant fake believ misin,Negative,16.0,2020-05-27,"Hyderabad, Telangana, India","(17.38878595, 78.46106473453146, 0.0)",17.38878595,78.46106473453146,0.0
"RT @BJP4India: Congress party and its leaders are deliberately spreading negativity, misinformation, fake news and working against the natiÂ",2020-05-27 16:35:00,,congress parti leader deliber spread neg misinform fake news work nati,Negative,16.0,2020-05-27,"Nanno, Comunità della Val di Non, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38012, Italia","(46.3144754, 11.0480288, 0.0)",46.3144754,11.0480288,0.0
"RT @BJP4India: Congress party and its leaders are deliberately spreading negativity, misinformation, fake news and working against the natiÂ",2020-05-27 16:34:31,"Punjab, India",congress parti leader deliber spread neg misinform fake news work nati,Negative,16.0,2020-05-27,"Punjab, India","(30.9293211, 75.5004841, 0.0)",30.9293211,75.5004841,0.0
"RT @BJP4India: Congress party and its leaders are deliberately spreading negativity, misinformation, fake news and working against the natiÂ",2020-05-27 16:33:39,,congress parti leader deliber spread neg misinform fake news work nati,Negative,16.0,2020-05-27,"Nanno, Comunità della Val di Non, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38012, Italia","(46.3144754, 11.0480288, 0.0)",46.3144754,11.0480288,0.0
"RT @BJP4India: Congress party and its leaders are deliberately spreading negativity, misinformation, fake news and working against the natiÂ",2020-05-27 16:32:38,???? ( ???????? ),congress parti leader deliber spread neg misinform fake news work nati,Negative,16.0,2020-05-27,,,,,
"RT @BJP4India: Congress party and its leaders are deliberately spreading negativity, misinformation, fake news and working against the natiÂ",2020-05-27 16:32:35,????,congress parti leader deliber spread neg misinform fake news work nati,Negative,16.0,2020-05-27,,,,,
"RT @BJP4India: Congress party and its leaders are deliberately spreading negativity, misinformation, fake news and working against the natiÂ",2020-05-27 16:32:29,,congress parti leader deliber spread neg misinform fake news work nati,Negative,16.0,2020-05-27,"Nanno, Comunità della Val di Non, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38012, Italia","(46.3144754, 11.0480288, 0.0)",46.3144754,11.0480288,0.0
"Congress party and its leaders are deliberately spreading negativity, misinformation, fake news and working againstÂ https://t.co/mmQ7Qx3MoM",2020-05-27 16:30:16,India,congress parti leader deliber spread neg misinform fake news work http,Negative,16.0,2020-05-27,India,"(22.3511148, 78.6677428, 0.0)",22.3511148,78.6677428,0.0
"RT @zoamorani: Plasma donation round 2 ! Last time it helped get a patient out of ICU , Note from my Doctor Âhoping all recovered covid patÂ",2020-05-27 16:29:48,,plasma donat round last time help patient note doctor hope recov covid,Negative,16.0,2020-05-27,"Nanno, Comunità della Val di Non, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38012, Italia","(46.3144754, 11.0480288, 0.0)",46.3144754,11.0480288,0.0
"#IndiaFightsCorona
At the workplace, people must be seated at least 6 feet away from each other and not more than 2Â https://t.co/CriLtwHnED",2020-05-27 16:29:01,"Arwal, India",#indiafightscorona workplac peopl must seat least feet away http criltwhn,Negative,16.0,2020-05-27,"Arwal, Bihar, India","(25.180777149999997, 84.65920203021554, 0.0)",25.180777149999997,84.65920203021554,0.0
"RT @BJP4India: Congress party and its leaders are deliberately spreading negativity, misinformation, fake news and working against the natiÂ",2020-05-27 16:28:40,Mumbai.,congress parti leader deliber spread neg misinform fake news work nati,Negative,16.0,2020-05-27,"Mumbai, Mumbai City, Maharashtra, India","(18.9387711, 72.8353355, 0.0)",18.9387711,72.8353355,0.0
"#IndiaFightsCorona
EPFO reiterates its commitment to serving during this difficult situation. EPFO has settled 10.0Â https://t.co/O5sa5LhOyG",2020-05-27 16:27:35,"Arwal, India",#indiafightscorona epfo reiter commit serv difficult situat epfo settl http lhoyg,Negative,16.0,2020-05-27,"Arwal, Bihar, India","(25.180777149999997, 84.65920203021554, 0.0)",25.180777149999997,84.65920203021554,0.0
"#IndiaFightsCorona
Among many major countries that have managed to conduct 5 lakh tests, India has had the least nuÂ https://t.co/GwwtlATpPz",2020-05-27 16:27:23,"Arwal, India",#indiafightscorona among mani major countri manag conduct lakh test india least http gwwtlatppz,Negative,16.0,2020-05-27,"Arwal, Bihar, India","(25.180777149999997, 84.65920203021554, 0.0)",25.180777149999997,84.65920203021554,0.0
"RT @BJP4India: Congress party and its leaders are deliberately spreading negativity, misinformation, fake news and working against the natiÂ",2020-05-27 16:27:18,"3/107, Geeta Colony, New Delhi",congress parti leader deliber spread neg misinform fake news work nati,Negative,16.0,2020-05-27,"Geeta Colony, Preet Vihar Tehsil, East Delhi, Delhi, India","(28.650101149999998, 77.27592089582267, 0.0)",28.650101149999998,77.27592089582267,0.0
"#IndiaFightsCorona
India has acquired enough strength and resources to take on the worst challenge thrown by the coÂ https://t.co/jQd3Dlq3Po",2020-05-27 16:27:16,"Arwal, India",#indiafightscorona india acquir enough strength resourc take worst challeng thrown http,Negative,16.0,2020-05-27,"Arwal, Bihar, India","(25.180777149999997, 84.65920203021554, 0.0)",25.180777149999997,84.65920203021554,0.0
"RT @BJP4India: Congress party and its leaders are deliberately spreading negativity, misinformation, fake news and working against the natiÂ",2020-05-27 16:26:46,,congress parti leader deliber spread neg misinform fake news work nati,Negative,16.0,2020-05-27,"Nanno, Comunità della Val di Non, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38012, Italia","(46.3144754, 11.0480288, 0.0)",46.3144754,11.0480288,0.0
"RT @BJP4India: Congress party and its leaders are deliberately spreading negativity, misinformation, fake news and working against the natiÂ",2020-05-27 16:26:39,Botad ,congress parti leader deliber spread neg misinform fake news work nati,Negative,16.0,2020-05-27,"Botad, Botad Taluka, Botad District, Gujarat, 364700, India","(22.1686, 71.6685, 0.0)",22.1686,71.6685,0.0
