Tweets,User,User_location,fav_count,rt_count,tweet_date
India has officially across the number of cases Italy has of #COVID19. We had a #FailedLockdown because we have a u… https://t.co/bp8c2Ro1GI,#NYAYforIndia pratima singh,"New Delhi, India",2,0,2020-06-05 18:27:59
"I think @narendramodi will not stop to bring India into the Top position this time...Shame Shame😡👎
#StepDownModi… https://t.co/4s59LRjAuL",Saikat Das #IndiaAgainstCAA_NRC🇮🇳,Kolkata - Murshidabad,0,0,2020-06-05 18:27:51
"L - Lost jobs
O - Over taxed the people.
C - Cut salaries.
K - Killed economy.
D - Dead migrants.
O - Oppressed inf… https://t.co/Zo9vHxdF6i",Congress Supporter,,0,0,2020-06-05 18:27:31
BJP government has fully failed to take a single meaningfull steps to resolve Lockdown pandemic issues. Neither the… https://t.co/Jo1b1LfPW7,Arshad Hasmi,"Bihar, India",10,3,2020-06-05 18:27:02
"Tips to protect yourself from Coronavirus . 
 #FailedLockdown https://t.co/7lEDwe3bfO",Congress Supporter,,1,0,2020-06-05 18:26:47
"Death tally (as of June 5)

UK: 40261
Italy: 33774
Spain: 27134
Germany: 8758
India: 6649

Still valid to call a… https://t.co/a3PTCGn19i",Yash Shah,India,0,0,2020-06-05 18:26:32
@haldiaarpit #Failedlockdown #FailedDemonetisation #FailedEconomy only Solving triple talaq issues.. Article 370 is… https://t.co/nNAEZImoxG,Hemant Kothari,"Kalyan Dombivali, India",3,1,2020-06-05 18:26:32
"When the PM Care Fund is kept opaque and excluded from the Right to Information Act, when forming a government in M… https://t.co/4Zx08jhl2i",Subhashis Samanta,,2,2,2020-06-05 18:25:51
"#FailedLockdown
a pathetic boy of 51 years blames centre Gov. with five graphs, what a rainless comparison of other… https://t.co/E04181fqYm",Vrajesh Asti,"Vadodara, Gujarat",0,0,2020-06-05 18:25:18
This is how a #FailedLockdown look like https://t.co/HPd3SV3rXy,Naveen,"கோவை,துடியலூர் ",1,0,2020-06-05 18:25:12
"..? 🤔💭💭,

L - Lost jobs
O - Over taxed the people.
C - Cut salaries.
K - Killed economy.
D - Dead migrants.
O - Opp… https://t.co/wvaGufX043",a¹9 👓°`,India,0,0,2020-06-05 18:24:12
"I do not understand the point of Delhi Govt. of not admitting people in hospitals. Mild, serious, asymptomatic .. w… https://t.co/XGniL6xtfX",Deeksha Goyal,"New Delhi, India",1,0,2020-06-05 18:24:05
India is the only country in the world where Covid19 cases increased rapidly AFTER lockdown was imposed and kept on… https://t.co/bJtHeB7uyl,Congress Supporter,,1,0,2020-06-05 18:23:47
"This is what a failed lockdown looks like.
#FailedLockdown https://t.co/IYr6kh8MKx",Congress Supporter,,1,0,2020-06-05 18:23:13
"Yesterday Gujarat
BJP bought 2 Cong MLAs for Rajya Sabha election.
Today 3 BJP MLAs tested COVID positive so they c… https://t.co/XptsgmQnu7",Sanjay विश्वकर्मा,"Mumbai, Maharastra, India",16,8,2020-06-05 18:22:03
"@HasibaAmin @h_s_Karthik @RahulGandhi Modi who has never done press conference ,Modi post demonetization said give… https://t.co/VE5AzijXIw",Azan Haque, India,1,0,2020-06-05 18:21:21
@ippatel Does @realDonaldTrump know that? #FailedLockdown,Dev Sun,,0,0,2020-06-05 18:20:21
India just left Italy behind in terms of COVID-19 cases. India didn't need Gandhi family to become another Italy. M… https://t.co/Vi32XrH7a7,Ignorunt_slut,"Bhubaneshwar, India",0,0,2020-06-05 18:20:18
India is now at the 5th rank in world for number of #COVID19 cases. This is a sad news and not a rank to be proud o… https://t.co/FxAw9MTtW8,Dr. Mayank Puri,"Chandigarh, India",16,10,2020-06-05 18:19:42
"BJP trs govt failed to plan...
#FailedLockdown
@narendramodi @KTRTRS  @JanaSenaParty https://t.co/k0Ab9XURft",munna chotu,,1,0,2020-06-05 18:19:30
"Someone, somewhere in the government is thinking of renaming Corona or Covid-19. 

#lockdown2020 failure. 
We are h… https://t.co/yrs2WzSL6r",DarkLight,,1,0,2020-06-05 18:18:40
"@ManojMehtamm Complete Failure ☠️👎
#FailedLockdown 
#FailedLockdown",Yasmin Zafar # INC🇮🇳,"New Delhi, India , UAE",3,1,2020-06-05 18:18:02
"Who thinks the lockdown was unplanned ? Highly mistaken . 

This was a planned lockdown made to look as unplanned .… https://t.co/tdqbO0piCr",Deepti Tripathi,India,0,0,2020-06-05 18:17:46
"#FailedLockdown
Like for failed lockdown
Retweet for terrorist Pragya",feku 2.0,,1,1,2020-06-05 18:17:32
When graph of other countries descended after opening the Lock down why Indian graph of of Covid-19 cases is ascend… https://t.co/Lpb16nTtlP,~● NRJ ●~,"Ayodhya, India",0,0,2020-06-05 18:17:09
Yeah its a #FailedLockdown  🤣 https://t.co/oZWIhQ3Lmk,Pawan_Arya,India,5,2,2020-06-05 18:15:48
India is the only country in the world where Covid19 cases increased rapidly AFTER lockdown was imposed and kept on… https://t.co/pNzbs9mwt0,Radheshyam meena,"Sheopur, India",1,1,2020-06-05 18:14:39
"#FailedLockdown
We Indians are well know by ""JUGAARU ""
now we have to find some ""Jugad"" to take control over… https://t.co/dLJq7OfBSf",Anjan Mondal,"Durgapur, Ukhra",0,1,2020-06-05 18:13:05
#FailedLockdown this lockdown is like terrorist  Pragya Thakur,feku 2.0,,1,1,2020-06-05 18:13:04
"Two months ago, we were reading horrible #coronavirus stories coming from Italy and today India has officially cros… https://t.co/moQgyPjMtg",Varooooon💨,HSP,0,1,2020-06-05 18:13:02
India has officially across the number of cases Italy has of #COVID19. We had a #FailedLockdown because we have a u… https://t.co/89UJ8VjMA0,Dr. Vidhi Sharma,,77,37,2020-06-05 18:12:46
".@LambaAlka ji cautions on unemployment

  Unemployment is going to increase in the country

  #FailedLockdown https://t.co/03EPpqRDUU",Yuvraj_(Nilesh)_Deshbhratar #NyayforIndia,,14,8,2020-06-05 18:12:39
"#COALINDIA

On monday you will see rally on coal india.
#Lotus person has leaked some great news

#Motabhai eating… https://t.co/QOvTy6P6hV",King of those who know,,3,1,2020-06-05 18:12:32
"More loans means more burden on citizens.

#FailedLockdown https://t.co/tJFHDFbT6i",Rofl Republic,जय हिन्द 🇮🇳,20,7,2020-06-05 18:10:56
@asgarQu90939148 @ManojMehtamm #FailedLockdown no preps....no testing....no stimulus package....no direct cash tran… https://t.co/jt2Sw9sdK8,DINESH BANRA,INDIA,1,0,2020-06-05 18:10:54
India is the only country in the world where Covid19 cases increased rapidly AFTER lockdown was imposed and kept on… https://t.co/1jGSJFRTZu,Shamimurriyaz,"Lucknow, India",1,1,2020-06-05 18:10:50
",In gold foil's shining gown
Here stands saffronite Don 
Neither worried of Covid-19
Nor of Disastrous Cyclone… https://t.co/WMaC7UyZdd",Manoj Mehta,"Nagrota Bagwan, India",54,33,2020-06-05 18:09:32
"They have left a lot of work for the @INCIndia, the aftermath of these #FailedLockdown and this financial crisis ca… https://t.co/e2cOpBrV1d",Tharun jagathish,INDIA,2,1,2020-06-05 18:09:02
The graphs are as expected. A slow steady non-fatal  rise given the population compared to other countries. #FailedLockdown,Witter'n'Wit,Bharat,0,0,2020-06-05 18:08:09
Before blaming government for coronavirus ask one question to yourself- Are we Indians as disciplined as Japanese t… https://t.co/wKVmMpfKwV,Amit Jambhale,,0,0,2020-06-05 18:07:28
"But Why??
#FailedLockdown #fridaymorning #COVID https://t.co/GhMeotDjnv",Noman Rehman,Hyderabad,0,0,2020-06-05 18:07:09
Even Hitler would've done a better job #FailedLockdown,Sahil Sayed,"Juhu, Mumbai",0,0,2020-06-05 18:06:43
"#FailedLockdown
@BJP4India and it's PM @narendramodi are solely responsible for the tragedy that will start in this… https://t.co/iqQhkNNXCu",Vimal Dixit,,0,0,2020-06-05 18:06:11
"#FailedLockdown On one hand, the transition in the country is increasing, we have come to then6thplace in the world… https://t.co/uBGVc6ytrp",Anurag Ojha With RG,Jaisalmer The Golden City,0,0,2020-06-05 18:06:01
"The most important part is atleast they shoud admit to nation ,what blunders they have created,#FailedLockdown https://t.co/9MBsNwwbsY",Vani Jonas,"Amritsar, India",0,0,2020-06-05 18:05:49
"#FailedLockdown... #India 🇮🇳 🙏 
Members of PM’s COVID-19 task force say lockdown failed due to Unscientific Impleme… https://t.co/H4DWi58y80",एकता~भारतीय (1K) *IAS Preperation*🇮🇳🇮🇳,"Uttar Pradesh, India",1,1,2020-06-05 18:05:38
"#FailedLockdown
Now, in India reported #COVID19 cases around 10,000 every days for last 5 days &amp; even 200 Medical S… https://t.co/t2Vyw3vTek",Irshad Ahmad,Delhi,3,3,2020-06-05 18:03:30
"Financial crisis for everyone.
Countries economy collapsed.
Most affected is our migrant labourers. 
During the pan… https://t.co/Vq0xdE7qyY",Naveen,"கோவை,துடியலூர் ",0,0,2020-06-05 18:02:30
#FailedLockdown lockdown failed miserably and also the bjp gvt failed us and fooled us I would say.,Judy,,1,0,2020-06-05 18:02:18
Orphaned by a #FailedLockdown https://t.co/JoUk3awOrA,Rofl Republic,जय हिन्द 🇮🇳,29,7,2020-06-05 18:01:55
"The only country in the world that has no idea how to deal with this pandemic . 

@BJP4India u failed ! 

Those who… https://t.co/SdEreSsSGt",'Gandhi' Jagdish Singh,"New Delhi, India",10,5,2020-06-05 18:01:52
"To announce events like diya jalao, thali bajao etc , 4 days notice given.. 
To announce lockdown, 4 hr notice was… https://t.co/qnKjAZjBYf",Yuvraj_(Nilesh)_Deshbhratar #NyayforIndia,,2,0,2020-06-05 18:01:25
"#FailedLockdown I think so chanakya has failed, they should get Tenalirama? Both are make/ products in India?… https://t.co/rhuggugUvd",Ravi Kumar Niboriya,Delhi,0,1,2020-06-05 18:01:15
"Narendra Modi govt has failed India in its hour of need — both economy and people

#FailedLockdown 
#StepDownModi… https://t.co/XnzMM8Cox1",Saurabh Singh,"Jharkhand, India",9,7,2020-06-05 18:00:58
#FailedLockdown for even @JM_Scindia too.. 😂😂 https://t.co/qBqzdOn4JU,R K DAHARWAL आर के डहरवालرکدہاروال,trying to get one,15,5,2020-06-05 18:00:50
"Rahul Gandhi Roasts Centre For ""Failed Lockdown"" With 5-Graph Tweet - NDTV 

https://t.co/4LwbNhQi2a

#FailedLockdown",Jebi Mather,,6,2,2020-06-05 18:00:36
"Hopefully, now #BJP must have understood why there is a need to open a Colleges, Hospitals Research&amp;Development cen… https://t.co/PADoHyeJHf",kishlay kaushal,"Patna, India",0,0,2020-06-05 18:00:29
"#Titan

Sell...soon we see Craasssshh on Titan

 Beggars wear #Titan

#yalgar
#failedlockdown
#sonaliphogat… https://t.co/cxbKKrzsBi",King of those who know,,2,1,2020-06-05 18:00:27
#PMCaresFunds was only achievement by Govt in fooling the country for their self care in future elections &amp; horse trading... #FailedLockdown,Sanjay | ಸಂಜಯ್,Somewhere on the other side,1,0,2020-06-05 17:59:45
"This is what is meant by the phrase ""Lockdown has failed"". Also, we are no. 6 in the tally now, surpassing Italy.… https://t.co/LSwtyt0xnB",Ambuj Dixit,India,4,0,2020-06-05 17:59:22
"Lockdown reality:

◾Thali bajana.
◾Migrants killed.
◾Loot by BJP(hike in fuel prices)
◾Economy crashed.
◾Jobs lost.… https://t.co/5smzzGTXDW",||Tarique Raza Khan|| طارقرضا,,1,2,2020-06-05 17:58:40
"Lockdown appears to be tearing away at the Indian economy

Unemployment rates hit record highs of nearly 30% in May… https://t.co/y2CStOaIRj",VK18_ABD17 🇮🇳,bangalore,54,38,2020-06-05 17:58:02
"Historic decision ! So this will reduce the number of corona cases..Name changes are priority ...
Rcd from FB(pic)… https://t.co/JjjIhfSAIi",Vidya,"Daman,India",23,12,2020-06-05 17:57:19
"@RahulGandhi #FailedLockdown 
What's worse we added a Humanitarian crisis #MigrantCrisis",Tino Thomas,"Abu Dhabi, UAE",0,0,2020-06-05 17:56:27
"India surpasses Italy in Covid 19 tally to become the 6th most affected country in the world. What next ?
#FailedLockdown",Sukanta Banerjee,,0,0,2020-06-05 17:56:22
"All those Hindus who are still supporting Congress: You still have time for Ghar Vapsi. Pls read ""The Myth Of Hindu… https://t.co/8Z2KaQ2Irc",Rishi Mahadev,मानवलोक,0,0,2020-06-05 17:55:59
"Lockdown 1 : 400 Cases 

Lockdown 5 #unlock : 10,000 Cases  

We are on the verge of 3rd most infected cases record… https://t.co/PBLofN1Yto",Sanjay | ಸಂಜಯ್,Somewhere on the other side,2,0,2020-06-05 17:55:55
