Tweets,User,User_location,fav_count,rt_count,tweet_date
"RT @shekhar_mande: The 1st phytopharmaceutical to get into clinical trials against #COVID19India, we @CSIR_IND are proud to be with @SunPha…",VIMAL PATEL #AROGYASETU 📲,"Ahmadabad City, India",0,53,2020-06-05 19:08:48
RT @nmohanty: For those asking why the #COVID19India numbers keep increasing even after the #lockdownextension while many countries are sho…,JEN DANIEL J,Jabalpur ,0,1,2020-06-05 19:08:32
"#udaipur #corona Recovery rate 87.86%
Total positive  ..577
Total cured...507
Discharged...455
Total active case...… https://t.co/wqpZT55VCY",Mukesh Hinger,"Udaipur, Rajasthan",0,0,2020-06-05 19:08:10
"The outcome of Unlock 1.0 has left people in #Bhopal worried in just five days. In the first four days of June, Bho… https://t.co/c5uZrC0Ir9",Absolute India,India,1,1,2020-06-05 19:08:04
"RT @DilliDurAst: We have been gaslit into believing testing rates don't matter. As the tragedy unfold before our eyes, outr cardinal sin wa…",Mohammad Khalid Akhter | محمد خالد اختر,"Sasaram, Bihar, India 🇮🇳",0,88,2020-06-05 19:07:31
RT @rishiviews: Is there any Opposition in Telangana ? @UttamTPCC @revanth_anumula - #TRS Government failed in controlling the #COVID19Indi…,Nagendra Devarapalli,"Vijayawada, India",0,1,2020-06-05 19:06:56
"RT @dna: Maharashtra update: 

Total cases: 80,229 (2,436 new cases)

Deaths: 2,849 (139 today)

Recovered: 35,156 (1,475 patients discharg…",William,Mumbai,0,5,2020-06-05 19:05:49
"RT @ajitnarasimhan: Always a pleasure to read articles by @neelkanthmishra
This is a must read. While we have been literally forced into #U…",Sanjeev Vaidyanathan,With Carmen Sandiego,0,1,2020-06-05 19:05:42
RT @pankajmb4u: See comparison between light bills in Pune &amp;Delhi ! Maharashtra has costliest electricity bills in the country. In the time…,Venkat Boddeti,,0,83,2020-06-05 19:05:33
"RT @jijesh_rj: #COVID19India awareness with Thalaivar Rajinikanth 2.0 Chitti Cartoon in kerala 😍 

Firing , Fighting the Corona with multip…",Naveen,,0,14,2020-06-05 19:04:51
"As soon the #schools reopen, u will see jump in Fees in name of sanitization and trust me will you, schools will se… https://t.co/btRVfVGh8p",The_Tall_Indian,India,0,0,2020-06-05 19:04:37
"Tamil Nadu and Maharashra are doing massive work in #COVID19India Tests, Delhi is on top for per million tests… https://t.co/D46jrB8FEc",Rajiv Kala,"New Delhi, India",0,0,2020-06-05 19:04:11
"Unlock begins
Highest deceased in a day reported 286
Total 6649 so far

#COVID19India
#COCID19Update… https://t.co/1yXJaJ81zK",City 19 | Covid 19 Tracker - India and World,India,2,1,2020-06-05 19:03:36
"#COVID19 #COVID19India 
         Cases increasing rapidly 
227k corona cases .. 

#Staysafe https://t.co/3IEw1t5Ggl",halal_guy,"Hyderabad, India",21,3,2020-06-05 19:03:01
"RT @ganesh8322: This wall art is found on a school’s compound wall in Kerala Red heart

#Chitti destroys #COVIDー19 by distributing hand san…",AADHITYA,Chennai,0,3,2020-06-05 19:01:34
Holy hell !! May God have mercy on Delhites #KejriwalLiedPeopleDied #Kejriwal the Devil. Mohalla Clinic Scam… https://t.co/fXDxuUK1Za,Bikram Datta,,0,0,2020-06-05 19:00:36
"RT @ganesh8322: This wall art is found on a school’s compound wall in Kerala Red heart

#Chitti destroys #COVIDー19 by distributing hand san…",உத்தம வில்லன்🤘🏼,"Chennai, India",0,3,2020-06-05 18:59:12
"RT @jijesh_rj: #COVID19India awareness with Thalaivar Rajinikanth 2.0 Chitti Cartoon in kerala 😍 

Firing , Fighting the Corona with multip…",Revolution starts with R,"Tamil Nadu, India",0,14,2020-06-05 18:57:35
"RT @jijesh_rj: #COVID19India awareness with Thalaivar Rajinikanth 2.0 Chitti Cartoon in kerala 😍 

Firing , Fighting the Corona with multip…",உத்தம வில்லன்🤘🏼,"Chennai, India",0,14,2020-06-05 18:57:20
"RT @jijesh_rj: #COVID19India awareness with Thalaivar Rajinikanth 2.0 Chitti Cartoon in kerala 😍 

Firing , Fighting the Corona with multip…",Sj,"Tamil Nadu, India ",0,14,2020-06-05 18:53:10
"RT @LavekarBharati: Our Volunteers Distributing Essential Grocery Packets &amp; #Sanitary_Pads,to Needy People in #Versova_Vidhansabha who are…",Seetanand Shinge,,0,2,2020-06-05 18:53:05
"RT @ArshadRizwan: Famous Gujarat model versus the world model!

The worst seems to be just starting....
#COVID19India https://t.co/ri8ZhsNN…",suhail ahmed,major sandeep unni Krishnan rd,0,35,2020-06-05 18:52:53
"Our Volunteers Distributing Essential Grocery Packets &amp; #Sanitary_Pads,to Needy People in #Versova_Vidhansabha who… https://t.co/pEgLFDeELB",Dr. Bharati Lavekar,"Mumbai, India",6,2,2020-06-05 18:52:35
"RT @yudhyavir: Now the priorities should be more towards providing care to patients.
Why the govt is so confused ?
Its look like policy par…",Dr. Raj Kumar,,0,1,2020-06-05 18:51:50
"@kunalpurohit It's #COVID19Pandemic time.
#Mumbai health system is overwhelmed, other cities to follow.
U thank God… https://t.co/qr4YFzXxQP",unity in diversity,,0,0,2020-06-05 18:50:08
"RT @arayushi2: Why are semester exams more important than lives of students?  
Is your education system so spotless that it's a matter of l…",priyanka_preeRan😻,"Vishakhapatnam, India",0,1,2020-06-05 18:50:06
"Actor Dev Express His View About On going Situations On Twitter.

#DevAdhikari #MigrantWorkers #Lockdown… https://t.co/zouKG3QjuD",Devian (দেবীয়ান),,2,0,2020-06-05 18:49:55
"RT @diptivsingh: As on June 5, #India reported total 2,26,770 #COVIDー19 cases including 6348 deaths. #Maharashtra has overall 77,793 cases…",Ashish Gupta 🇮🇳,"Mumbai, India",0,10,2020-06-05 18:49:53
"RT @gargvipul: @virsanghvi Either way it doesn’t make sense. While countries are doing everything to test their people(China included), our…",Local Lion,"Karachi, Bharat. ",0,4,2020-06-05 18:49:05
"@KTRTRS Please take some action before it's getting too late 
#COVID19India #Hyderabad",Avik Bhattacharjee,"Hyderabad,India",0,0,2020-06-05 18:49:00
Mumbai is imploding.   #COVIDー19  #COVID19India https://t.co/xmx2deSvkh,Kasturi Shankar,,12,1,2020-06-05 18:48:49
"RT @DilliDurAst: We have been gaslit into believing testing rates don't matter. As the tragedy unfold before our eyes, outr cardinal sin wa…",Abhishek,New Delhi,0,88,2020-06-05 18:45:26
"RT @dna: Maharashtra update: 

Total cases: 80,229 (2,436 new cases)

Deaths: 2,849 (139 today)

Recovered: 35,156 (1,475 patients discharg…",Suneet Garg,My iPhone X,0,5,2020-06-05 18:44:51
"RT @dna: #COVID19 in India live updates: #Maharashtra records 2,933 new cases, 123 more fatalities

#coronavirus #COVID19India #COVID #Coro…",आत्म निर्भर उल्टी खोपड़ी Mak007,,0,14,2020-06-05 18:44:40
"RT @dna: Maharashtra update: 

Total cases: 80,229 (2,436 new cases)

Deaths: 2,849 (139 today)

Recovered: 35,156 (1,475 patients discharg…",Meghana میگھنا मेघना ਮੇਘਨਾ :-),,0,5,2020-06-05 18:43:07
"RT @drkamnakakkar: Educate your loved ones regarding signs/symptoms of Covid which require emergency medical care.

👉🏾Trouble breathing

👉🏾…",Kurikesh George,"केरल, भारत",0,19,2020-06-05 18:42:25
"RT @AjantaNews: #BreakingNews #ajantanews
#coronavirus update from #India 🇮🇳:
05/06/2020 

Total cases : 2,36,001
Active cases : 1,16,109
D…",Roshni Jadhav,,0,1,2020-06-05 18:41:30
"RT @BLOnCampus: More people working from home, because of Covid-19, and impact of the global slowdown on MNCs in India will hit demand in t…",Naga Sridhar,Hyderabad,0,1,2020-06-05 18:40:33
"RT @dna: Maharashtra update: 

Total cases: 80,229 (2,436 new cases)

Deaths: 2,849 (139 today)

Recovered: 35,156 (1,475 patients discharg…",आत्म निर्भर उल्टी खोपड़ी Mak007,,0,5,2020-06-05 18:40:20
@TajinderBagga @sshikhar33 @ArvindKejriwal @smritiirani @drharshvardhan @p_sahibsingh @adeshguptabjp @M_Lekhi… https://t.co/pgSEZ4W3xD,Prof.Seema Mishra,"Ghaziabad Uttar Pradesh, India",1,0,2020-06-05 18:38:17
How the National Capital of #India is turned into a disaster hotspot zone 👇 check thread #AAP killer's are on the l… https://t.co/yn1RT6LL8h,Bikram Datta,,0,0,2020-06-05 18:37:30
"RT @dna: #COVID19 in India live updates: #Maharashtra records 2,933 new cases, 123 more fatalities

#coronavirus #COVID19India #COVID #Coro…",Dhiraj,"Bangalore, India",0,14,2020-06-05 18:36:59
"#BreakingNews #ajantanews
#coronavirus update from #India 🇮🇳:
05/06/2020 

Total cases : 2,36,001
Active cases : 1,… https://t.co/cgH5JneQ1F",Ajanta News,"Mumbai, Maharashtra, India",1,1,2020-06-05 18:36:57
"Now the priorities should be more towards providing care to patients.
Why the govt is so confused ?
Its look like p… https://t.co/FrCNTZt67J",Dr Yudhyavir Singh. #RebootHealthSystem 📢Join me,"New Delhi, India",1,1,2020-06-05 18:36:44
