Tweets,User,User_location,fav_count,rt_count,tweet_date
"RT @MeghalayaPolice: A quick recap of new guidelines on #Unlock1

We request citizens to follow Social Distancing, Personal Hygiene and oth…",Defence PRO Shillong,"Shillong, India",0,12,2020-06-04 11:00:22
"RT @MeghalayaPolice: A quick recap of new guidelines on #Unlock1

We request citizens to follow Social Distancing, Personal Hygiene and oth…",AIR News Shillong ~STAY HOME STAY SAFE~,"Shillong, India",0,4,2020-06-04 10:55:16
"RT @MeghalayaPolice: A quick recap of new guidelines on #Unlock1

We request citizens to follow Social Distancing, Personal Hygiene and oth…",AIR News Shillong ~STAY HOME STAY SAFE~,"Shillong, India",0,12,2020-06-04 10:55:12
"RT @MeghalayaPolice: A quick recap of new guidelines on #Unlock1

We request citizens to follow Social Distancing, Personal Hygiene and oth…",DD NEWS SHILLONG,"Meghalaya, India",0,12,2020-06-04 10:51:11
.@ALIndiaOfficial shrugs off #COVID19 shock. Tune in as ET NOW's @uttkarsh311090 speaks to company MD Vipin Sodhi… https://t.co/v92mQR5lm0,ET NOW,India,1,1,2020-06-04 10:46:47
.@ALIndiaOfficial is all set to roll out its new BS VI trucks in the market. ET NOW's @uttkarsh311090 chats with co… https://t.co/Am2p3Je13c,ET NOW,India,2,1,2020-06-04 10:44:35
RT @weloveberi: #twitterpoll #poll #LockdownExtended #Lockdownextention #lockdown2020 #Unlock1 #unlockone #unlock1Point0 #unlockingindia #U…,Aridaman Singh Issar,"Bhopal, India",0,1,2020-06-04 10:41:59
"RT @MeghalayaPolice: A quick recap of new guidelines on #Unlock1

We request citizens to follow Social Distancing, Personal Hygiene and oth…",Salik Khan,Guwahati-Jaipur,0,12,2020-06-04 10:20:09
#twitterpoll #poll #LockdownExtended #Lockdownextention #lockdown2020 #Unlock1 #unlockone #unlock1Point0… https://t.co/8nTPiqzUFy,Qonsept,Navi Mumbai 400705 Maharashtra,4,1,2020-06-04 10:07:49
"A quick recap of new guidelines on #Unlock1

We request citizens to follow Social Distancing, Personal Hygiene and… https://t.co/zuTKquk0kS",Meghalaya Police,"Shillong, India",10,4,2020-06-04 10:05:37
"A quick recap of new guidelines on #Unlock1

We request citizens to follow Social Distancing, Personal Hygiene and… https://t.co/7gzmkagPh0",Meghalaya Police,"Shillong, India",47,12,2020-06-04 10:04:41
#LockdownExtended #Lockdownextention #lockdown2020 #Unlock1 #unlockone #unlock1Point0 #unlockingindia #Unlock… https://t.co/rNP6iORAiE,Qonsept,Navi Mumbai 400705 Maharashtra,3,1,2020-06-04 10:04:31
#LockdownExtended #Lockdownextention #lockdown2020 #Unlock1 #unlockone #unlock1Point0 #unlockingindia #Unlock… https://t.co/glVWD8GHBN,Qonsept,Navi Mumbai 400705 Maharashtra,3,0,2020-06-04 09:56:48
"RT @IAmManeshK: Pause before you react

Pause before you assume

Pause before you regret

#BREAK_THE_SILENCE 
#lockdown 
#UnlockIndia https…",Rajiv Ranjan Raju 🇮🇳,➡for my post visit my like⬅,0,16,2020-06-04 09:42:24
"@tapai02 @bhootnath @umangmisra above said three things,

#India also have to revive her economy, because we are in… https://t.co/XXUJhhuveQ",Dr. Debasish Chakrabarty,"Bardhaman, India",2,0,2020-06-04 09:41:18
"RT @Maha_MEDD: A map prepared by CSIR-NEERI showing #COVIDー19 cases in India. (4th June 2020)

#IndiaFightsCorona #coronavirus #IndiaFights…",Divyesh Parde,,0,5,2020-06-04 07:44:05
"RT @Maha_MEDD: A map prepared by CSIR-NEERI showing #COVIDー19 cases in India. (4th June 2020)

#IndiaFightsCorona #coronavirus #IndiaFights…",Prof Dr Ravi Wankhedkar,"Dhule, India",0,5,2020-06-04 07:40:35
"RT @IAmManeshK: Pause before you react

Pause before you assume

Pause before you regret

#BREAK_THE_SILENCE 
#lockdown 
#UnlockIndia https…",Sintu Tiwari🇮🇳 💯🚩% FB,Bharat,0,16,2020-06-04 07:28:43
"RT @Maha_MEDD: A map prepared by CSIR-NEERI showing #COVIDー19 cases in India. (4th June 2020)

#IndiaFightsCorona #coronavirus #IndiaFights…",Sunil ushire,,0,5,2020-06-04 07:27:53
"A map prepared by CSIR-NEERI showing #COVIDー19 cases in India. (4th June 2020)

#IndiaFightsCorona #coronavirus… https://t.co/CVU5ceBik5","Medical Education & Drugs Department, Maharashtra",Mumbai,24,5,2020-06-04 07:27:24
"#JUSTIN

Swiggy expands its alcohol delivery service to West Bengal

-Launches home delivery of alcohol in Kolkata… https://t.co/REAQIGwwq0",Harshada Sawant 🇮🇳,"Mumbai, India",17,0,2020-06-04 06:25:12
"RT @CNBCTV18News: Coronavirus news LIVE Updates: India's COVID-19 tally reaches 2,16,919 with record spike of 9,304 cases; death toll 6,075…",Shivam Goyal🇮🇳,India,0,2,2020-06-04 05:55:28
"Coronavirus news LIVE Updates: India's COVID-19 tally reaches 2,16,919 with record spike of 9,304 cases; death toll… https://t.co/JP35RaXcET",CNBC-TV18,,3,2,2020-06-04 05:52:30
"RT @Maha_MEDD: A map prepared by CSIR-NEERI showing #COVIDー19 cases in India. (3rd June 2020)

#IndiaFightsCorona #coronavirus #IndiaFights…",Prof Dr Ravi Wankhedkar,"Dhule, India",0,9,2020-06-04 05:26:34
"Simulations is back in office...

...under all safety guidelines

#Unlock1 #UnlockIndia #PostCovid #OfficeScenario https://t.co/K7BI7dFgVn",Simulations PR,Ahmedabad,2,0,2020-06-04 04:43:35
RT @TaniaMaryThomas: Let’s be realistic Indians r not as disciplined as the west to maintain #SocialDistanacing. In a country like ours it…,Kishore Parihar,,0,1,2020-06-04 04:41:41
"A smart way to keep you safe from COVID-19 quarantine person
Watch it Now - https://t.co/E22YFd3PSm…
#COVID19… https://t.co/6nQBSJilfk",Unizen Technologies," India, Japan, Europe, USA",2,0,2020-06-04 04:39:58
When you call your girlfriend that you made during lockdown to meet on 8 June #unlockindia https://t.co/2dOji7QLs6,Anupam Joshi,,0,0,2020-06-04 04:27:12
Let’s be realistic Indians r not as disciplined as the west to maintain #SocialDistanacing. In a country like ours… https://t.co/gI3uKPzf1C,Tania Mary Thomas,"Bengaluru, India",0,1,2020-06-04 01:53:34
"RT @nillkool9: #Mask goals be like :: 🥱😷🤯
#Hazard #CoronaVirusUpdate #MaskSahiPehnoIndia #UnlockIndia https://t.co/JmAvsiQa84",Mayank 🇮🇳,"New Delhi, India",0,45,2020-06-04 00:38:16
"RT @Gita4L: Starting today 2nd June, Every Tuesday, Thursday and Saturday, we will share a viewpoint that would aid us as we UNLOCK ourselv…",Neelanjan Bharadwaj,,0,1,2020-06-03 19:27:02
"RT @PRDMovieReviews: Highest number of cases each day &amp; we are doing #UnlockIndia 👏, 205 ppl die in a day &amp; people supporting #Unlock1 , 82…",Ragini,,0,6,2020-06-03 19:03:43
"RT @PRDMovieReviews: Highest number of cases each day &amp; we are doing #UnlockIndia 👏, 205 ppl die in a day &amp; people supporting #Unlock1 , 82…",ritesh kundar,,0,6,2020-06-03 18:59:30
"RT @nillkool9: #Mask goals be like :: 🥱😷🤯
#Hazard #CoronaVirusUpdate #MaskSahiPehnoIndia #UnlockIndia https://t.co/JmAvsiQa84",❤ PööH ❤,🤪😇Dhusman ke dimag mai 😇🤪,0,45,2020-06-03 17:53:33
"RT @nillkool9: #Mask goals be like :: 🥱😷🤯
#Hazard #CoronaVirusUpdate #MaskSahiPehnoIndia #UnlockIndia https://t.co/JmAvsiQa84",sεcяεт sυρεяsтαя,my house,0,45,2020-06-03 17:29:42
RT @MahaCyber1: The battle against coronavirus is still ongoing. We request all citizens to follow all the guidelines issued by the state g…,atul mangal narhari kothawale(मराठे),"pune,Maharashtra, India",0,9,2020-06-03 16:29:37
"RT @nillkool9: #Mask goals be like :: 🥱😷🤯
#Hazard #CoronaVirusUpdate #MaskSahiPehnoIndia #UnlockIndia https://t.co/JmAvsiQa84",Sachin Deo Mehta,Sitting On Iron Throne ,0,45,2020-06-03 16:11:09
"RT @nillkool9: #Mask goals be like :: 🥱😷🤯
#Hazard #CoronaVirusUpdate #MaskSahiPehnoIndia #UnlockIndia https://t.co/JmAvsiQa84",Priyanka,"Bengaluru South, India",0,45,2020-06-03 16:07:13
"RT @nillkool9: #Mask goals be like :: 🥱😷🤯
#Hazard #CoronaVirusUpdate #MaskSahiPehnoIndia #UnlockIndia https://t.co/JmAvsiQa84",Ashutosh '),India,0,45,2020-06-03 15:57:31
"RT @nillkool9: #Mask goals be like :: 🥱😷🤯
#Hazard #CoronaVirusUpdate #MaskSahiPehnoIndia #UnlockIndia https://t.co/JmAvsiQa84",🔥 ∱∪ℕκγβαβα 🔥,Everywhere,0,45,2020-06-03 15:55:51
"RT @gomechanicindia: The Indian car market gets flooded with new and exciting car launches every year.
Here is our list of such pocket-frie…",râmÿà❤️,"Hyderabad, India",0,1,2020-06-03 15:47:21
"The Indian car market gets flooded with new and exciting car launches every year.
Here is our list of such pocket-f… https://t.co/JRJdqSirkl",GoMechanic,"Gurgaon, India",5,1,2020-06-03 15:46:59
"RT @PRDMovieReviews: Highest number of cases each day &amp; we are doing #UnlockIndia 👏, 205 ppl die in a day &amp; people supporting #Unlock1 , 82…",#PRDMovieReviews_FC,,0,6,2020-06-03 15:40:06
